"COUNTRY","Country","DLVLEDUC","Level of education","DDESTPRG","Programme destination","DPROGTYP","Programme orientation","DMODETYP","Intensity of participation","DINSTTYP","Type of institution","DSEX","Gender","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1998","1998",,,"0","Units",,,5565536,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1999","1999",,,"0","Units",,,5585389,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2000","2000",,,"0","Units",,,5847123,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2001","2001",,,"0","Units",,,5833519,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2002","2002",,,"0","Units",,,5999853,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2003","2003",,,"0","Units",,,6045434,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2004","2004",,,"0","Units",,,5937758,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2005","2005",,,"0","Units",,,6021137,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2006","2006",,,"0","Units",,,6041997,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2007","2007",,,"0","Units",,,6059821,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2008","2008",,,"0","Units",,,6128711,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2009","2009",,,"0","Units",,,5964236,,
